known_heads,shared_tail,target_relation,answers
"[('Posterior uveitis NOS (disorder)', 'contraindicated_with_disease'), ('panuveitis (diagnosis)', 'contraindicated_with_disease')]",VEGF Trap - regeneron,has_active_ingredient,"['Ziv-Aflibercept 25 MG/1 ML Intravenous Solution [ZALTRAP]_#1', 'chemotherapeutics ziv-aflibercept', 'aflibercept-jbvf (medication)']"
"[('Posterior uveitis NOS (disorder)', 'contraindicated_with_disease'), ('panuveitis (diagnosis)', 'contraindicated_with_disease')]",VEGF Trap - regeneron,mechanism_of_action_of,['Vascular Endothelial Growth Factor Inhibitors [MoA]']
"[('Chief cell adenocarcinoma (morphologic abnormality)', 'location_of'), ('Transplantation of parathyroid (procedure)', 'used_for')]","Head and Neck, Parathyroid",has_finding_site,"['Inflammation of parathyroid gland', 'Metabolic bone disease of reptiles', 'normocalcemic primary hyperparathyroidism (diagnosis)']"
"[('Chief cell adenocarcinoma (morphologic abnormality)', 'location_of'), ('Transplantation of parathyroid (procedure)', 'used_for')]","Head and Neck, Parathyroid",has_direct_procedure_site,"['Single photon emission computed tomography of parathyroid (procedure)', 'Total parathyroidectomy and parathyroid tissue transposition (procedure)']"
"[('Chief cell adenocarcinoma (morphologic abnormality)', 'location_of'), ('Transplantation of parathyroid (procedure)', 'used_for')]","Head and Neck, Parathyroid",has_procedure_site,['Parathyroid planar imaging']
"[('Corneal argyriasis (disorder)', 'associated_morphology_of'), ('conjunctival argyrosis (diagnosis)', 'associated_morphology_of')]",poisoning by silver (diagnosis),causative_agent_of,['silver drug']
"[('CORONARY STENOSIS RIGHT LUMINAL IRREGULARITIES', 'co-occurs_with'), ('EJECTION FRACTION', 'co-occurs_with')]",Left ventricular function (observable entity),co-occurs_with,['aorta; incompetency']
"[('DRUG ABUSE SKIN POPPING', 'clinically_associated_with'), ('DRUG ABUSE NON INTRAVENOUS', 'clinically_associated_with')]",drug and alcohol abuse,associated_with,['cocaine abuse (diagnosis)']
"[('DRUG ABUSE SKIN POPPING', 'clinically_associated_with'), ('DRUG ABUSE NON INTRAVENOUS', 'clinically_associated_with')]",drug and alcohol abuse,has_focus,"['Naloxone therapy (procedure)', 'digital therapeutics for substance use disorder (treatment)', 'referral for substance use disorder treatment program (treatment)']"
"[('DRUG ABUSE SKIN POPPING', 'clinically_associated_with'), ('DRUG ABUSE NON INTRAVENOUS', 'clinically_associated_with')]",drug and alcohol abuse,clinically_associated_with,['Unspecified abdominal pain']
"[('DRUG ABUSE SKIN POPPING', 'clinically_associated_with'), ('DRUG ABUSE NON INTRAVENOUS', 'clinically_associated_with')]",drug and alcohol abuse,causative_agent_of,['PREPARATIONS PHARM']
"[('acute bronchospasm (diagnosis)', 'co-occurs_with'), ('Acute bronchiolitis NOS (disorder)', 'used_for')]",acute bronchitis (diagnosis),associated_with,['Bronchitis: [unspecified (& chest infection)] or [recurrent wheezy] (disorder)']
"[('acute bronchospasm (diagnosis)', 'co-occurs_with'), ('Acute bronchiolitis NOS (disorder)', 'used_for')]",acute bronchitis (diagnosis),co-occurs_with,['high blood sugar level']
"[('ANAPHYLACTOID LIKE REACTION', 'clinically_associated_with'), ('Creatinine (substance)', 'clinically_associated_with')]","Acute kidney failure, unspecified",associated_with,['renal disease (diagnosis)']
"[('ANAPHYLACTOID LIKE REACTION', 'clinically_associated_with'), ('Creatinine (substance)', 'clinically_associated_with')]","Acute kidney failure, unspecified",clinically_associated_with,['Unspecified abdominal pain']
"[('Acute non-Q wave infarction (disorder)', 'associated_morphology_of'), ('refractory angina pectoris', 'associated_morphology_of')]",Arterial Sclerosis,associated_with,['Ischaemic chest pain (disorder)']
"[('Acute non-Q wave infarction (disorder)', 'associated_morphology_of'), ('refractory angina pectoris', 'associated_morphology_of')]",Arterial Sclerosis,contraindicated_with_disease,['Desoxynorephedrine']
"[('aorta; incompetency', 'contraindicated_with_disease'), ('pulmonary insufficiency (PI)', 'contraindicated_with_disease')]",inotropes inamrinone,has_ingredient,['inamrinone Injectable Product']
"[('aorta; incompetency', 'contraindicated_with_disease'), ('pulmonary insufficiency (PI)', 'contraindicated_with_disease')]",inotropes inamrinone,physiologic_effect_of,"['Vasodilation', 'Positive Chronotropy [PE]']"
"[('Bone structure of left ankle joint region (body structure)', 'has_finding_site'), ('Bone structure of right ankle joint region (body structure)', 'has_finding_site')]",Osteochondritis dissecans of both ankle regions,associated_morphology_of,['Ischemic necrosis (qualifier value)']
"[('Beard wart (disorder)', 'associated_morphology_of'), ('Subungual wart (disorder)', 'associated_morphology_of')]",Verruca (morphologic abnormality),pathological_process_of,['Infectious process (qualifier value)']
"[('Deprecated Cryptosporidium', 'associated_with'), ('Diarrhoea: [infectious] or [travellers] (disorder)', 'associated_with')]",diarrhea; Cryptosporidium,associated_with,['Deprecated Cryptosporidium']
"[('Probucol (substance)', 'used_for'), ('Niacin (substance)', 'associated_with')]","Drugs, Hypolipidemic",has_active_ingredient,['Ispaghula husk [gastro-intestinal bulk laxative] (substance)']
"[('edema of knee (physical finding)', 'co-occurs_with'), ('joint instability of knee (diagnosis)', 'co-occurs_with')]",Pain in unspecified knee,clinically_associated_with,['anemia sickle celled']
"[('SKIN BURN EXTREMITY', 'co-occurs_with'), ('Chest wall structure (body structure)', 'has_finding_site')]",burns of chest (physical finding),co-occurs_with,['burns of neck (diagnosis)']
"[('DISCHARGE PLACEMENT', 'co-occurs_with'), ('DISCHARGE MAINTENANCE', 'co-occurs_with')]",discharge plan (treatment),has_focus,['Referral to discharge planning team (procedure)']
"[('DISCHARGE PLACEMENT', 'co-occurs_with'), ('DISCHARGE MAINTENANCE', 'co-occurs_with')]",discharge plan (treatment),clinically_associated_with,['obesity (diagnosis)']
"[('NEOPL EXPER', 'may_treat'), ('PERITONEAL DIS', 'may_treat')]","Cellulose, Carboxymethyl Ether, Calcium Salt",has_ingredient,['lomefloxacin HCl@400 mg@ORAL@TABLET']
"[('rheumatic pericarditis (diagnosis)', 'clinically_associated_with'), ('PERICARDIAL EFFUSION DECREASED', 'clinically_associated_with')]",pericardial effusion (diagnosis),associated_with,"['Effusion (morphologic abnormality)', 'effusive pericarditis (diagnosis)']"
"[('rheumatic pericarditis (diagnosis)', 'clinically_associated_with'), ('PERICARDIAL EFFUSION DECREASED', 'clinically_associated_with')]",pericardial effusion (diagnosis),contraindicated_with_disease,['Dicumarol (product)']
"[('rheumatic pericarditis (diagnosis)', 'clinically_associated_with'), ('PERICARDIAL EFFUSION DECREASED', 'clinically_associated_with')]",pericardial effusion (diagnosis),clinically_associated_with,['Blood pressure (observable entity)']
"[('muton', 'used_for'), ('Coding DNA sequence', 'used_for')]",Gene (substance),has_component,['MOLECULAR CYTOGENETICS DNA PROBE EACH']
"[('cervical intraepithelial neoplasia grade 1 (CIN-1)', 'location_of'), ('CIN II (grade 2 cervical intraepithelial neoplasia)', 'location_of')]","Genital System, Female, Cervix",has_finding_site,"['Cervicitis &/or endocervicitis (disorder)', 'Infections of cervix in pregnancy, unspecified trimester', 'giant cell sarcoma of cervix (diagnosis)', 'primary adenosquamous carcinoma of cervix (diagnosis)', 'invasive carcinoma of uterine cervix', 'mucinous adenocarcinoma of cervix (diagnosis)', 'angioimmunoblastic T-cell lymphoma of cervix not having achieved remission (diagnosis)', 'Cervical Malignant Mixed Mesodermal (Müllerian) Tumor', 'clear cell adenocarcinoma of cervix (diagnosis)', 'Cervicitis (disorder)', 'damage to cervix following ectopic pregnancy (diagnosis)', 'primary carcinosarcoma of cervix uteri (diagnosis)', 'Infection of cervix due to Chlamydia trachomatis (disorder)']"
"[('cervical intraepithelial neoplasia grade 1 (CIN-1)', 'location_of'), ('CIN II (grade 2 cervical intraepithelial neoplasia)', 'location_of')]","Genital System, Female, Cervix",has_direct_procedure_site,"['Removal of penetrating foreign body from cervix (procedure)', 'Dilatation and curettage NEC with hysteroscopy NEC (procedure)', 'speculoscopy (procedure)', 'Thermocauterization of cervix (procedure)']"
"[('cervical intraepithelial neoplasia grade 1 (CIN-1)', 'location_of'), ('CIN II (grade 2 cervical intraepithelial neoplasia)', 'location_of')]","Genital System, Female, Cervix",has_procedure_site,"['Cauterization of cervix by laser surgery (procedure)', 'diaphragm fitting with instructions (treatment)', 'Cerclage of cervix during pregnancy by vaginal approach (procedure)', 'Retired procedure (procedure) [48427006]', 'Exam of vagina w/scope', 'Exam/biopsy of vag w/scope', 'Exam of cervix w/scope', 'trachelectomy (cervicectomy) (treatment)', 'Cerclage of cervix during pregnancy by abdominal approach (procedure)', 'excision of cervical stump via abdominal approach (treatment)', 'Remove cerclage suture']"
"[('pelvi tumors', 'co-occurs_with'), ('ABDOMEN SURGERY TUMOR REMOVAL', 'co-occurs_with')]",ABDOMINAL NEOPL,co-occurs_with,['pelvi tumors']
"[('Age-related cataract (disorder)', 'associated_with'), ('total senile cataract', 'associated_morphology_of')]",cataract (diagnosis),has_component,['Did you ever have cataract surgery:Finding:To identify measures at a point in time:^Patient:Ordinal:PhenX']
"[('Age-related cataract (disorder)', 'associated_with'), ('total senile cataract', 'associated_morphology_of')]",cataract (diagnosis),associated_with,"['Age-related cataract (disorder)', 'Hypertrophic mitochondrial cardiomyopathy associated with cataracts and lactic acidosis (disorder)']"
"[('Age-related cataract (disorder)', 'associated_with'), ('total senile cataract', 'associated_morphology_of')]",cataract (diagnosis),clinically_associated_with,['Angina at rest (disorder)']
"[('orlistat (medication)', 'used_for'), ('amylase inhibitors', 'used_for')]",ENZYME INHIB,has_active_ingredient,['enzymes enzyme inhibitors']
"[('UPPER EXTREMITY BURN SCALD', 'co-occurs_with'), ('CHEST BURN HOT LIQUID', 'co-occurs_with')]",ABDOMEN BURN HOT LIQUID,co-occurs_with,['CHEST BURN HOT LIQUID']
"[('involvement pulmonary', 'clinically_associated_with'), (""Raynaud's phenomenon (diagnosis)"", 'clinically_associated_with')]",scleroderma (diagnosis),clinically_associated_with,['dysphagia (diagnosis)']
"[('XXX>Joint', 'has_finding_site'), ('JOINT SEPTIC STAPH', 'clinically_associated_with')]",INFECT ARTHRITIS,may_treat,['Cilastatin (product)']
"[('multilayer membrane electrode', 'used_for'), ('hydrogen electrode', 'used_for')]",Electrode Device,has_ingredient,"['ELECTRODE,DERMATRODE SA 2INX2IN #200-140']"
"[('Genital System, Female, Uterus', 'has_procedure_site'), ('inability to conceive', 'co-occurs_with')]",hysteroscopy of uterus (treatment),co-occurs_with,['inability to conceive']
"[('Tuberculin purified protein derivative (product)', 'clinically_associated_with'), ('MGR12', 'manifestation_of')]",headache (symptom),has_component,['Does your child wake up with headaches in the morning:Finding:To identify measures at a point in time:^Patient:Ordinal:PhenX']
"[('Tuberculin purified protein derivative (product)', 'clinically_associated_with'), ('MGR12', 'manifestation_of')]",headache (symptom),associated_with,['Cluster headache syn NOS']
"[('Tuberculin purified protein derivative (product)', 'clinically_associated_with'), ('MGR12', 'manifestation_of')]",headache (symptom),has_focus,['stress test-induced headache (procedure)']
"[('Tuberculin purified protein derivative (product)', 'clinically_associated_with'), ('MGR12', 'manifestation_of')]",headache (symptom),may_treat,['n-Phenylacetamide']
"[('Tuberculin purified protein derivative (product)', 'clinically_associated_with'), ('MGR12', 'manifestation_of')]",headache (symptom),clinically_associated_with,['Unspecified abdominal pain']
"[('HYDRONEPHROSIS FETUS', 'co-occurs_with'), ('BRADYCARDIA FETAL INTERMITTENT', 'co-occurs_with')]",FETAL ULTRASOUND RESULT,co-occurs_with,['Congenital abnormality of the kidney (disorder)']
"[('tetralogy of Fallot (diagnosis)', 'has_focus'), ('TETRALOGY FALLOT ACYANOTIC', 'co-occurs_with')]",Repair of tetralogy of Fallot (procedure),co-occurs_with,['TETRALOGY FALLOT ACYANOTIC']
"[('Intracranial subdural space structure (body structure)', 'has_finding_site'), ('Cavity of ventricular system of brain', 'has_finding_site')]",Subdural hemorrhage with open intracranial wound (disorder),associated_morphology_of,['bleeding (symptom)']
"[('FROSTER SYNDROME', 'manifestation_of'), ('Meacham-Winn-Culler syndrome', 'manifestation_of')]",diaphragmatic hernia (diagnosis),clinically_associated_with,['Intrauterine pregnancy (finding)']
"[('N15 isotope', 'used_for'), ('Ca46 isotope', 'used_for')]",Stable isotope (substance),has_component,"['column chromatography-mass spectrometry using stable isotope dilution, quantitative (lab test)']"
"[('metabolic respiration', 'used_for'), ('respiration internal', 'used_for')]",oxidative metabolic process,used_for,['Aerobioses']
"[('metabolic alkalosis (diagnosis)', 'co-occurs_with'), ('MC4DN20', 'manifestation_of')]",respiratory acidosis (diagnosis),associated_with,['endocrinologic']
"[('metabolic alkalosis (diagnosis)', 'co-occurs_with'), ('MC4DN20', 'manifestation_of')]",respiratory acidosis (diagnosis),contraindicated_with_disease,['Ammonium chloride - chemical (substance)']
"[('metabolic alkalosis (diagnosis)', 'co-occurs_with'), ('MC4DN20', 'manifestation_of')]",respiratory acidosis (diagnosis),clinically_associated_with,['Alkalosis NOS (disorder)']
"[('severe mitral valve regurgitation (diagnosis)', 'associated_morphology_of'), ('moderate mitral regurgitation', 'associated_morphology_of')]",Incompetence of any valvular structure,associated_with,['valvular endocarditis with regurgitation (diagnosis)']
"[('severe mitral valve regurgitation (diagnosis)', 'associated_morphology_of'), ('moderate mitral regurgitation', 'associated_morphology_of')]",Incompetence of any valvular structure,location_of,['Cardiac valve structure (body structure)']
"[('ALGS2', 'manifestation_of'), ('NAHCO TREATMENT', 'co-occurs_with')]",renal tubular acidosis (diagnosis),may_treat,['2-Hydroxypropanetricarboxylic Acid']
"[('Charcot-Marie-Tooth disease type 2F', 'manifestation_of'), ('Charcot-Marie-Tooth disease type 2P (disorder)', 'manifestation_of')]",fasciculations (diagnosis),used_for,['NEUROL SIGNS SYMPTOMS']
"[('RNDx bowel incontinence', 'clinically_associated_with'), ('ALS12', 'manifestation_of')]",Lou Gehrig's disease (ALS),has_focus,['ALS2 gene']
"[('RNDx bowel incontinence', 'clinically_associated_with'), ('ALS12', 'manifestation_of')]",Lou Gehrig's disease (ALS),may_treat,"['TAURURSODIOL DIHYDRATE', 'antioxidants edaravone']"
"[('RNDx bowel incontinence', 'clinically_associated_with'), ('ALS12', 'manifestation_of')]",Lou Gehrig's disease (ALS),clinically_associated_with,"['Dyspnea, unspecified']"
"[('RNDx bowel incontinence', 'clinically_associated_with'), ('ALS12', 'manifestation_of')]",Lou Gehrig's disease (ALS),associated_morphology_of,['Tissue Degeneration']
"[('THPH6', 'manifestation_of'), ('Thrombophilia, Susceptibility to, due to Heparin Cofactor Ii Deficiency', 'manifestation_of')]",defibrination syndrome (diagnosis),associated_with,['placenta abruption with disseminated intravascular coagulation (diagnosis)']
"[('THPH6', 'manifestation_of'), ('Thrombophilia, Susceptibility to, due to Heparin Cofactor Ii Deficiency', 'manifestation_of')]",defibrination syndrome (diagnosis),contraindicated_with_disease,['aminocaproic acid (medication)']
"[('THPH6', 'manifestation_of'), ('Thrombophilia, Susceptibility to, due to Heparin Cofactor Ii Deficiency', 'manifestation_of')]",defibrination syndrome (diagnosis),co-occurs_with,"['Premature separation of placenta, unspecified, unspecified trimester']"
"[('FUNGAL EYE INFECT', 'contraindicated_with_disease'), ('tuberculosis of eye (diagnosis)', 'contraindicated_with_disease')]",dexamethasone (DMX),has_component,['DHAP']
"[('FUNGAL EYE INFECT', 'contraindicated_with_disease'), ('tuberculosis of eye (diagnosis)', 'contraindicated_with_disease')]",dexamethasone (DMX),has_ingredient,"['Dexamethasone ophthalmic preparation (substance)', 'Decadron 0.5mg Tablet', 'Dexamethasone 250mcg tablet', 'dexAMETHasone sodium phosphate 24 MG/ML', 'dexAMETHasone / dobesilic acid / lidocaine Topical Ointment', 'dexAMETHasone Nasal Product', 'dexAMETHasone 0.7 MG']"
"[('FUNGAL EYE INFECT', 'contraindicated_with_disease'), ('tuberculosis of eye (diagnosis)', 'contraindicated_with_disease')]",dexamethasone (DMX),has_active_ingredient,"['DEXAMETHASONE 0.5 MILLIGRAM In 1 TABLET ORAL TABLET', 'DEXAMETHASONE 0.05/TOBRAMY 0.3% OPH SUSP', 'DEXAMETHASONE 0.7MG OPH IMPLANT', 'dexamethasone (ophthalmic implant) (medication)', 'inhaled dexamethasone (medication)']"
"[('FUNGAL EYE INFECT', 'contraindicated_with_disease'), ('tuberculosis of eye (diagnosis)', 'contraindicated_with_disease')]",dexamethasone (DMX),physiologic_effect_of,['Carbohydrate Metabolism Alteration']
"[('FUNGAL EYE INFECT', 'contraindicated_with_disease'), ('tuberculosis of eye (diagnosis)', 'contraindicated_with_disease')]",dexamethasone (DMX),mechanism_of_action_of,['Lipoxygenase Inhibitors']
"[(""Contracture: (Dupuytren's) or (palmar fascia) (disorder)"", 'may_treat'), ('Skin ulcer (disorder)', 'may_treat')]",Clostridium histolyticum collagenase (substance),used_for,['collagenase (medication)']
"[(""Contracture: (Dupuytren's) or (palmar fascia) (disorder)"", 'may_treat'), ('Skin ulcer (disorder)', 'may_treat')]",Clostridium histolyticum collagenase (substance),has_component,['Collagenase measurement (procedure)']
"[(""Contracture: (Dupuytren's) or (palmar fascia) (disorder)"", 'may_treat'), ('Skin ulcer (disorder)', 'may_treat')]",Clostridium histolyticum collagenase (substance),has_ingredient,['collagenase Clostridium histolyticum Injectable Product']
"[(""Contracture: (Dupuytren's) or (palmar fascia) (disorder)"", 'may_treat'), ('Skin ulcer (disorder)', 'may_treat')]",Clostridium histolyticum collagenase (substance),has_active_ingredient,"['collagenase Clostridium histolyticum-aaes (medication)', 'collagenase Clostridium hist. 250 unit/gram TOPICAL OINTMENT (GRAM)']"
"[(""Contracture: (Dupuytren's) or (palmar fascia) (disorder)"", 'may_treat'), ('Skin ulcer (disorder)', 'may_treat')]",Clostridium histolyticum collagenase (substance),therapeutic_class_of,['Dermatological Agents']
"[('Internal Spermatic Vein', 'used_for'), ('Injury of vein (disorder)', 'location_of')]",Venous subtree,has_finding_site,"['Edema of right lower limb co-occurrent and due to peripheral venous insufficiency (disorder)', 'Embolism of vein from thrombosis of vena cava', 'Enlargement of caudal vena cava', 'Jugular phlebitis (disorder)', 'Phlebitis following perfusion (disorder)', 'Phlegmasia alba dolens (disorder)', 'Thrombosis of penile vein (disorder)', 'Chronic peripheral venous hypertension (disorder)', 'Parkes Weber syndrome (disorder)', 'hepatic arteriovenous malformation (diagnosis)', 'Inferior vena cava to left of spine (disorder)', 'Veno-Occlusive Disease']"
"[('Internal Spermatic Vein', 'used_for'), ('Injury of vein (disorder)', 'location_of')]",Venous subtree,has_direct_procedure_site,"['percutaneous transluminal atherectomy of veins using fluoroscopic guidance with IV contrast (treatment)', 'fluoroscopic angiography for percutaneous transluminal angioplasty of vein with IA contrast (treatment)', 'Open arteriovenous anastomosis by transposition of cephalic vein of upper arm (procedure)', 'Percutaneous transluminal laser ablation of varicose vein of leg', 'insertion of Thomas shunt (treatment)', 'Percutaneous transluminal balloon angioplasty of vein using fluoroscopic guidance with contrast', 'Insertion of peripherally inserted central catheter using fluoroscopic guidance', 'Lymphaticovenous anastomosis surgery', 'Vein transplantation (procedure)']"
"[('Internal Spermatic Vein', 'used_for'), ('Injury of vein (disorder)', 'location_of')]",Venous subtree,has_procedure_site,"['INSJ CANNULA HEMO OTH PURPOSE SPX ARVEN XTRNL', 'Phlebotomy', 'Acute venous thrombus image', 'ARTERIOVENOUS ANASTOMOSIS OPEN DIRECT', 'INTRODUCTION NEEDLE/INTRACATHETER VEIN', 'Portocaval shunt (procedure)', 'Vnpnxr 3yr/> phy/qhp dx/ther', 'OPEN/PERQ PLACEMENT INTRAVASC STENT SAME EA ADDL', 'Draw blood off venous device', 'Unilateral radionuclide imaging of venous structure', 'Dup-scan hemo compl bi std', 'Njx sclrsnt 1 incmptnt vein', 'THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC', 'coronary thrombolysis intravenous infusion (treatment)', 'Prgrmd stimj&pacg iv rx nfs', 'Coll venous bld venipuncture', 'VEN CATHJ SLCTV ORGAN BLD SAMPLING', 'Vein x-ray skull epidural', 'Harvest vein for bypass', 'B-mode ultrasound of vein (procedure)']"
"[('PNEUMONIA BACTERIAL STREP', 'clinically_associated_with'), ('bacterial meningitis (diagnosis)', 'associated_with')]",meningitis (diagnosis),associated_with,['aseptic meningitis (diagnosis)']
"[('PNEUMONIA BACTERIAL STREP', 'clinically_associated_with'), ('bacterial meningitis (diagnosis)', 'associated_with')]",meningitis (diagnosis),has_focus,['cerebrospinal fluid bacterial meningitis pathogen detection by polymerase chain reaction (lab test)']
"[('PNEUMONIA BACTERIAL STREP', 'clinically_associated_with'), ('bacterial meningitis (diagnosis)', 'associated_with')]",meningitis (diagnosis),clinically_associated_with,['acquired immunodeficiency syndrome (AIDS) (diagnosis)']
"[('AI2A2', 'manifestation_of'), ('AMELOGENESIS IMPERFECTA, HYPOCALCIFICATION TYPE, AUTOSOMAL RECESSIVE', 'manifestation_of')]",anterior open bite (diagnosis),associated_morphology_of,['Morphologically abnormal structure']
"[('DEE78', 'manifestation_of'), ('TORSION DYSTONIA-PARKINSONISM, FILIPINO TYPE', 'manifestation_of')]","sudden, jerky involuntary movements",may_treat,['D6-tetrabenazine']
"[('Branch retinal vein occlusion with no neovascularization (disorder)', 'associated_morphology_of'), ('Syndrome, Fox-Fordyce', 'associated_morphology_of')]",Obstruction (morphologic abnormality),has_component,['Guidance for substance removal of central venous catheter pericatheter obstruction:Finding:To identify measures at a point in time:Not specified>Vein:Document:Radiofluoroscopy.angio']
"[('(Cord compression) or (spinal cord compression) (disorder)', 'co-occurs_with'), ('lymphoma of spinal cord (diagnosis)', 'co-occurs_with')]","Tuberculosis of vertebral column, unspecified",co-occurs_with,['back ache (diagnosis)']
"[('(Cord compression) or (spinal cord compression) (disorder)', 'co-occurs_with'), ('lymphoma of spinal cord (diagnosis)', 'co-occurs_with')]","Tuberculosis of vertebral column, unspecified",pathological_process_of,['RNDx infection unspecified']
"[('ABDOMEN FLAP', 'co-occurs_with'), ('COLOSTOMY DIVERTING RIGHT', 'clinically_associated_with')]",gunshot wounds of multiple sites (diagnosis),clinically_associated_with,['Acquired short bowel syndrome (disorder)']
"[('Structure of thalamic reticular nucleus (body structure)', 'used_for'), ('raphe magnus', 'used_for')]",Pons Cerebelli,has_finding_site,"['neoplasm of pons of brainstem', 'CNS mass lesion in the pons', 'Pontocerebellar hypoplasia type 1']"
"[('Structure of thalamic reticular nucleus (body structure)', 'used_for'), ('raphe magnus', 'used_for')]",Pons Cerebelli,has_direct_procedure_site,"['release of pons (treatment)', 'repair of pons (treatment)']"
"[('Chlordiazepoxide overdose (disorder)', 'causative_agent_of'), ('toxicity from chlordiazepoxide', 'causative_agent_of')]",Chlordiazepoxide (substance),has_component,"['drugs in serum or plasma by confirmatory method chlordiazepoxide', 'Chlordiazepoxide measurement (procedure)']"
"[('Chlordiazepoxide overdose (disorder)', 'causative_agent_of'), ('toxicity from chlordiazepoxide', 'causative_agent_of')]",Chlordiazepoxide (substance),has_ingredient,"['Chlordiazepoxide hydrochloride 25mg tablet (product)', 'chlordiazePOXIDE / methscopolamine Oral Capsule']"
"[('Chlordiazepoxide overdose (disorder)', 'causative_agent_of'), ('toxicity from chlordiazepoxide', 'causative_agent_of')]",Chlordiazepoxide (substance),has_active_ingredient,"['Product containing only amitriptyline and chlordiazepoxide (medicinal product)', 'anxiolytics chlordiazepoxide + amitriptyline hydrochloride', 'chlordiazepoxide, clidinium drug combination']"
"[('brompheniramine (medication)', 'has_active_ingredient'), ('(1S,2S)-2-methylamino-1-phenyl-propan-1-ol', 'has_active_ingredient')]","brompheniramine, pseudoephedrine drug combination",has_ingredient,"['Bromfed (obsolete), 2 mg-30 mg/5 mL oral syrup']"
"[('adhesion small bowel obstruction', 'co-occurs_with'), ('CORPUS LUTEUM BLEEDING', 'co-occurs_with')]",exploratory laparotomy (procedure),has_focus,['radical orchiectomy with abdominal exploration (treatment)']
"[('adhesion small bowel obstruction', 'co-occurs_with'), ('CORPUS LUTEUM BLEEDING', 'co-occurs_with')]",exploratory laparotomy (procedure),co-occurs_with,['spontaneous abortion (diagnosis)']
"[('uterine endometrial cancer', 'contraindicated_with_disease'), ('Excessive Blood Clotting', 'contraindicated_with_disease')]",norgestrel (medication),has_ingredient,"['norgestrel@75 mcg@ORAL@TABLET', 'norgestrel 0.075 MG']"
"[('uterine endometrial cancer', 'contraindicated_with_disease'), ('Excessive Blood Clotting', 'contraindicated_with_disease')]",norgestrel (medication),has_active_ingredient,"['Ethinyl oestradiol + ferrous fumarate + norgestrel 0.03mg/75mg/0.3mg tablet', '(ethinyl estradiol + norgestrel) + (inert ingredients) (medication)', 'Low-Ogestrel KIT']"
"[('uterine endometrial cancer', 'contraindicated_with_disease'), ('Excessive Blood Clotting', 'contraindicated_with_disease')]",norgestrel (medication),therapeutic_class_of,"['Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)']"
"[('uterine endometrial cancer', 'contraindicated_with_disease'), ('Excessive Blood Clotting', 'contraindicated_with_disease')]",norgestrel (medication),mechanism_of_action_of,['Progestational Hormone Receptor Agonists [MoA]']
"[('newborn baby', 'contraindicated_with_disease'), ('[D]Sneezing (situation)', 'may_treat')]",diphenhydramine hydrochloride (medication),has_ingredient,"['pseudoephedrine HCl/diphenhydramine HCl@60 mg-25 mg@ORAL@TABLET', 'DIPHENHYDRAMINE HCL 1% TOP CREAM', 'Diphenhydramine Hydrochloride 25 MG Oral Capsule [GOOD NEIGHBOR PHARMACY ALLERGY]']"
"[('newborn baby', 'contraindicated_with_disease'), ('[D]Sneezing (situation)', 'may_treat')]",diphenhydramine hydrochloride (medication),has_active_ingredient,"['Diphenhydramine Hydrochloride 2% Topical application Cream', 'diphenhydramine HCl@6.25 mg/5 mL@ORAL@LIQUID (ML)', 'Benadryl Dye-Free Allergy 25 MG Oral Capsule']"
"[('neoplasm of urethra (diagnosis)', 'may_treat'), ('MSI Present', 'may_treat')]","immunoglobulin G4, anti-(human programmed cell death 1)",has_ingredient,['Pembrolizumab 50 mg powder for solution for injection vial']
"[('neoplasm of urethra (diagnosis)', 'may_treat'), ('MSI Present', 'may_treat')]","immunoglobulin G4, anti-(human programmed cell death 1)",mechanism_of_action_of,['PD-1-directed Antibody Interactions']
"[('micronodular cirrhosis (diagnosis)', 'clinically_associated_with'), ('Complex lethal osteochondrodysplasia (disorder)', 'manifestation_of')]",ascites was discovered,has_component,['Functional assessment of chronic illness therapy for patients with ascites questionnaire:-:To identify measures at a point in time:^Patient:-:FACIT']
"[('micronodular cirrhosis (diagnosis)', 'clinically_associated_with'), ('Complex lethal osteochondrodysplasia (disorder)', 'manifestation_of')]",ascites was discovered,has_focus,['subcutaneous peritoneal ascites pump system (treatment)']
"[('micronodular cirrhosis (diagnosis)', 'clinically_associated_with'), ('Complex lethal osteochondrodysplasia (disorder)', 'manifestation_of')]",ascites was discovered,may_treat,['Amiloride (substance)']
"[('micronodular cirrhosis (diagnosis)', 'clinically_associated_with'), ('Complex lethal osteochondrodysplasia (disorder)', 'manifestation_of')]",ascites was discovered,clinically_associated_with,['abdominal distention (physical finding)']
"[('Dazomet (substance)', 'associated_with'), ('Mylone', 'associated_with')]",Nematocide (substance),used_for,['Antihelminthic Agent [TC]']
"[('KNEE INJURY TRAUMA', 'co-occurs_with'), ('injury of wrist (diagnosis)', 'co-occurs_with')]",[X]Unspecified fall (event),co-occurs_with,['Fracture - lesion (morphologic abnormality)']
"[('Nose chondritis', 'clinically_associated_with'), ('tracheal stenosis (diagnosis)', 'clinically_associated_with')]",Systemic chondromalacia (disorder),may_treat,"[""4,4'-diaminodiphenylsulfone (DDS)""]"
"[('Memory recall (observable entity)', 'used_for'), ('Recognition, function', 'used_for')]","Memory functions, unspecified",has_component,['Memory loss [HIV-SSC]']
